event_id,block_index,trial_index,switch_day_index,switch_day_number,old_process_id,new_process_id,transition_label,success,response_start_day,new_candidate_top_ranked_days_in_window
block_03_trial_1_switch_day_361,2,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,17,14
block_03_trial_2_switch_day_181,2,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,4,26
block_03_trial_2_switch_day_361,2,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,14,18
block_03_trial_3_switch_day_181,2,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,False,,0
block_03_trial_3_switch_day_361,2,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,7,23
block_04_trial_1_switch_day_181,3,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,8,22
block_04_trial_1_switch_day_361,3,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,20,10
block_04_trial_2_switch_day_181,3,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,10,20
block_04_trial_2_switch_day_361,3,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,0,29
block_04_trial_3_switch_day_181,3,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,12,18
block_04_trial_3_switch_day_361,3,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,2,28
block_05_trial_1_switch_day_181,4,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,5,25
block_05_trial_1_switch_day_361,4,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,9,10
block_05_trial_2_switch_day_181,4,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,11,19
block_05_trial_2_switch_day_361,4,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,False,,8
block_05_trial_3_switch_day_181,4,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,10,20
block_05_trial_3_switch_day_361,4,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,13,18
block_06_trial_1_switch_day_181,5,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,6,24
block_06_trial_1_switch_day_361,5,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,10,20
block_06_trial_2_switch_day_181,5,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,10,19
block_06_trial_2_switch_day_361,5,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,7,17
block_06_trial_3_switch_day_181,5,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,12,19
block_06_trial_3_switch_day_361,5,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,4,21
block_07_trial_1_switch_day_181,6,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,1,29
block_07_trial_1_switch_day_361,6,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,7,23
block_07_trial_2_switch_day_181,6,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,9,21
block_07_trial_2_switch_day_361,6,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,3,27
block_07_trial_3_switch_day_181,6,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,True,20,6
block_07_trial_3_switch_day_361,6,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,2,28
block_08_trial_1_switch_day_181,7,0,180,181,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,9,21
block_08_trial_1_switch_day_361,7,0,360,361,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,12,18
block_08_trial_2_switch_day_181,7,1,180,181,lower_groundwater_high,lower_groundwater_low,lower_groundwater_high_to_lower_groundwater_low,True,6,25
block_08_trial_2_switch_day_361,7,1,360,361,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,False,,1
block_08_trial_3_switch_day_181,7,2,180,181,lower_groundwater_low,lower_groundwater_medium,lower_groundwater_low_to_lower_groundwater_medium,False,,0
block_08_trial_3_switch_day_361,7,2,360,361,lower_groundwater_medium,lower_groundwater_high,lower_groundwater_medium_to_lower_groundwater_high,True,14,22
