basin,timezone,std_offset_h,split
12056500,America/Los_Angeles,-8,public
12073500,America/Los_Angeles,-8,public
12082500,America/Los_Angeles,-8,holdout
12092000,America/Los_Angeles,-8,public
12114500,America/Los_Angeles,-8,public
12115000,America/Los_Angeles,-8,public
12117000,America/Los_Angeles,-8,public
12143600,America/Los_Angeles,-8,holdout
12144000,America/Los_Angeles,-8,public
12145500,America/Los_Angeles,-8,public
12147500,America/Los_Angeles,-8,public
12167000,America/Los_Angeles,-8,public
12175500,America/Los_Angeles,-8,holdout
12178100,America/Los_Angeles,-8,public
12186000,America/Los_Angeles,-8,public
12189500,America/Los_Angeles,-8,public
12375900,America/Denver,-7,public
12377150,America/Denver,-7,holdout
12381400,America/Denver,-7,public
12383500,America/Denver,-7,public
12390700,America/Denver,-7,public
12411000,America/Los_Angeles,-8,public
12447390,America/Los_Angeles,-8,holdout
12451000,America/Los_Angeles,-8,public
12488500,America/Los_Angeles,-8,public
13011500,America/Denver,-7,public
13011900,America/Denver,-7,public
13018300,America/Denver,-7,holdout
13023000,America/Denver,-7,public
13161500,America/Los_Angeles,-8,public
13235000,America/Boise,-7,public
13240000,America/Boise,-7,public
13313000,America/Boise,-7,holdout
13331500,America/Los_Angeles,-8,public
14020000,America/Los_Angeles,-8,public
14096850,America/Los_Angeles,-8,public
14137000,America/Los_Angeles,-8,public
14138800,America/Los_Angeles,-8,holdout
14138870,America/Los_Angeles,-8,public
14138900,America/Los_Angeles,-8,public
14139800,America/Los_Angeles,-8,public
14141500,America/Los_Angeles,-8,public
14154500,America/Los_Angeles,-8,holdout
14158790,America/Los_Angeles,-8,public
14166500,America/Los_Angeles,-8,public
14182500,America/Los_Angeles,-8,public
14185000,America/Los_Angeles,-8,public
14185900,America/Los_Angeles,-8,holdout
14187000,America/Los_Angeles,-8,public
14216500,America/Los_Angeles,-8,public
14222500,America/Los_Angeles,-8,public
14236200,America/Los_Angeles,-8,public
14301000,America/Los_Angeles,-8,holdout
14303200,America/Los_Angeles,-8,public
14305500,America/Los_Angeles,-8,public
14306340,America/Los_Angeles,-8,public
14306500,America/Los_Angeles,-8,public
14308990,America/Los_Angeles,-8,holdout
14309500,America/Los_Angeles,-8,public
14316700,America/Los_Angeles,-8,public
14325000,America/Los_Angeles,-8,public
14362250,America/Los_Angeles,-8,public
14400000,America/Los_Angeles,-8,holdout
10259000,America/Los_Angeles,-8,holdout
11124500,America/Los_Angeles,-8,public
11141280,America/Los_Angeles,-8,holdout
11143000,America/Los_Angeles,-8,public
11148900,America/Los_Angeles,-8,public
11151300,America/Los_Angeles,-8,public
11176400,America/Los_Angeles,-8,public
11230500,America/Los_Angeles,-8,holdout
11237500,America/Los_Angeles,-8,public
11264500,America/Los_Angeles,-8,public
11266500,America/Los_Angeles,-8,public
11284400,America/Los_Angeles,-8,public
11381500,America/Los_Angeles,-8,holdout
11451100,America/Los_Angeles,-8,public
11468500,America/Los_Angeles,-8,public
11473900,America/Los_Angeles,-8,public
11475560,America/Los_Angeles,-8,public
11476600,America/Los_Angeles,-8,holdout
11478500,America/Los_Angeles,-8,public
11480390,America/Los_Angeles,-8,public
11481200,America/Los_Angeles,-8,public
11482500,America/Los_Angeles,-8,public
11522500,America/Los_Angeles,-8,holdout
11523200,America/Los_Angeles,-8,public
11528700,America/Los_Angeles,-8,public
11532500,America/Los_Angeles,-8,public
