basin_id,rmin_tertile,initial_half_capacity_overflow,cell_size,cell_allocation,within_cell_index_zero_based,within_cell_rank_fraction,r_min,state_SM,fc_member2,fc_clipped_any,predicted_identifiable,feasible_zero_clipping,n_forcing_days
06892000,3,True,168,17,65,0.38922155688622756,13.72246234521657,286.7602545636404,155.41393494377252,False,True,True,1260
08070200,3,True,168,17,74,0.4431137724550898,14.527452499331988,681.2122184752211,394.3067220450645,False,True,True,1260
01568000,3,True,168,17,84,0.5029940119760479,15.408093443512875,334.8420462409136,176.11967860341105,False,True,True,1260
02096846,3,True,168,17,93,0.5568862275449101,16.459593237151747,569.1502088006457,302.3721301619559,False,True,True,1260
04196800,3,True,168,17,102,0.6107784431137725,17.73472873711303,182.2752511448564,141.44846354727625,False,True,True,1260
04015330,3,True,168,17,111,0.6646706586826348,18.659670768628818,321.3155448096197,175.94788626940203,False,True,True,1260
14187000,3,True,168,17,121,0.7245508982035929,19.90952004236696,1136.400825316878,676.424644546,True,True,True,1260
02298123,3,True,168,17,130,0.7784431137724551,22.042292501521512,1103.513453383047,604.5021850526723,False,True,True,1260
05501000,3,True,168,17,139,0.8323353293413174,24.098648393291896,411.6114977228966,218.7466814777885,False,True,True,1260
04197170,3,True,168,17,148,0.8862275449101796,26.40104538509684,346.90333669393243,214.51141456711667,False,True,True,1260
07184000,3,True,168,17,158,0.9461077844311377,33.60762999997768,210.46612622958625,121.84483823533256,False,True,True,1260
